key;gender;frequency;probability;yoform
герта;Ж;302;3.747448803241677e-06;герта
гертруда;Ж;1000;1.2408770871661182e-05;гертруда
гея;Ж;116;1.4394174211126972e-06;гея
глафира;Ж;5000;6.204385435830592e-05;глафира
гликерия;Ж;485;6.018253872755674e-06;гликерия
глория;Ж;9000;0.00011167893784495065;глория
горгония;Ж;20;2.4817541743322367e-07;горгония
горислава;Ж;864;1.0721178033115263e-05;горислава
гортензия;Ж;157;1.9481770268508058e-06;гортензия
градислава;Ж;78;9.678841279895723e-07;градислава
григория;Ж;1000;1.2408770871661182e-05;григория
даная;Ж;778;9.6540237381524e-06;даная
даниила;Ж;778;9.6540237381524e-06;даниила
дария;Ж;24000;0.0002978105009198684;дария
дарья;Ж;775000;0.009616797425537416;дарья
дасия;Ж;13;1.6131402133159538e-07;дасия
дебора;Ж;368;4.5664276807713155e-06;дебора
девора;Ж;108;1.3401472541394078e-06;девора
декабрина;Ж;259;3.2138716557602464e-06;декабрина
денисия;Ж;2;2.4817541743322366e-08;денисия
дея;Ж;62;7.693437940429933e-07;дея
диана;Ж;53000;0.0006576648561980427;диана
дигна;Ж;1;1.2408770871661183e-08;дигна
дина;Ж;13300;0.00016503665259309374;дина
дионисия;Ж;11;1.36496479588273e-07;дионисия
дия;Ж;82;1.017519211476217e-06;дия
добромила;Ж;3;3.722631261498355e-08;добромила
доброслава;Ж;8;9.927016697328946e-08;доброслава
домна;Ж;500;6.204385435830591e-06;домна
домника;Ж;39;4.839420639947861e-07;домника
домникия;Ж;31;3.8467189702149665e-07;домникия
донара;Ж;68;8.437964192729604e-07;донара
дора;Ж;700;8.686139610162828e-06;дора
дорофея;Ж;15;1.8613156307491775e-07;дорофея
дросида;Ж;1;1.2408770871661183e-08;дросида
ева;Ж;10600;0.00013153297123960853;ева
евангелина;Ж;300;3.7226312614983547e-06;евангелина
еванфия;Ж;2;2.4817541743322366e-08;еванфия
евгения;Ж;98400;0.0012210230537714605;евгения
евдения;Ж;1;1.2408770871661183e-08;евдения
евдокия;Ж;2000;2.4817541743322365e-05;евдокия
евдоксия;Ж;6;7.44526252299671e-08;евдоксия
евлалия;Ж;21;2.605841883048848e-07;евлалия
евлампия;Ж;200;2.4817541743322365e-06;евлампия
евника;Ж;7;8.686139610162828e-08;евника
евпраксия;Ж;18;2.233578756899013e-07;евпраксия
евстафия;Ж;1;1.2408770871661183e-08;евстафия
евстолия;Ж;20;2.4817541743322367e-07;евстолия
евтропия;Ж;1;1.2408770871661183e-08;евтропия
евфалия;Ж;7;8.686139610162828e-08;евфалия
евфимия;Ж;10;1.2408770871661184e-07;евфимия
евфросиния;Ж;27;3.3503681353485196e-07;евфросиния
екатерина;Ж;200000;0.0024817541743322367;екатерина
елена;Ж;500000;0.006204385435830592;елена
елизавета;Ж;32100;0.000398321544980324;елизавета
еликонида;Ж;5;6.204385435830592e-08;еликонида
елисавета;Ж;85;1.0547455240912005e-06;елисавета
емельяна;Ж;8;9.927016697328946e-08;емельяна
емилия;Ж;200;2.4817541743322365e-06;емилия
епистимия;Ж;1;1.2408770871661183e-08;епистимия
ефимия;Ж;37;4.5912452225146374e-07;ефимия
ефимья;Ж;1;1.2408770871661183e-08;ефимья
ефросиния;Ж;100;1.2408770871661182e-06;ефросиния
ефросинья;Ж;300;3.7226312614983547e-06;ефросинья
жанна;Ж;30700;0.0003809492657599983;жанна
зара;Ж;1100;1.36496479588273e-05;зара
зарема;Ж;2400;2.9781050091986838e-05;зарема
захария;Ж;100;1.2408770871661182e-06;захария
земфира;Ж;1500;1.8613156307491774e-05;земфира
зенона;Ж;2;2.4817541743322366e-08;зенона
зина;Ж;2900;3.598543552781743e-05;зина
зинаида;Ж;9900;0.00012284683162944572;зинаида
зиновия;Ж;29;3.598543552781743e-07;зиновия
злата;Ж;3500;4.343069805081414e-05;злата
зорина;Ж;3300;4.0948943876481906e-05;зорина
зосима;М;95;1.1788332328078125e-06;зосима
зоя;Ж;15100;0.00018737244016208386;зоя
ива;Ж;1100;1.36496479588273e-05;ива
иванна;Ж;1700;2.109491048182401e-05;иванна
ида;Ж;9800;0.0001216059545422796;ида
идея;Ж;400;4.963508348664473e-06;идея
изабелла;Ж;1500;1.8613156307491774e-05;изабелла
изида;Ж;53;6.576648561980427e-07;изида
изольда;Ж;600;7.4452625229967095e-06;изольда
илария;Ж;80;9.927016697328947e-07;илария
ильина;Ж;11500;0.00014270086502410362;ильина
инга;Ж;8400;0.00010423367532195393;инга
инесса;Ж;5300;6.576648561980426e-05;инесса
инна;Ж;59000;0.0007321174814280098;инна
иоанна;Ж;500;6.204385435830591e-06;иоанна
иоланта;Ж;200;2.4817541743322365e-06;иоланта
ираида;Ж;1700;2.109491048182401e-05;ираида
ирина;Ж;400000;0.004963508348664473;ирина
ирма;Ж;900;1.1167893784495064e-05;ирма
исаия;Ж;3;3.722631261498355e-08;исаия
исидора;Ж;23;2.854017300482072e-07;исидора
искра;Ж;1900;2.3576664656156247e-05;искра
иулиания;Ж;27;3.3503681353485196e-07;иулиания
иустина;Ж;8;9.927016697328946e-08;иустина
казимира;Ж;800;9.927016697328946e-06;казимира
калерия;Ж;500;6.204385435830591e-06;калерия
калина;Ж;1500;1.8613156307491774e-05;калина
калиса;Ж;22;2.72992959176546e-07;калиса
каллиста;Ж;9;1.1167893784495065e-07;каллиста
камилла;Ж;4000;4.963508348664473e-05;камилла
капитолина;Ж;300;3.7226312614983547e-06;капитолина
карина;Ж;40800;0.0005062778515637763;карина
каролина;Ж;300000;0.0037226312614983548;каролина
касиния;Ж;3;3.722631261498355e-08;касиния
